lga_code16,lga_name16,lga_state16
30250,Aurukun,Queensland
30300,Balonne,Queensland
30370,Banana,Queensland
30410,Barcaldine,Queensland
30450,Barcoo,Queensland
30760,Blackall-Tambo,Queensland
30900,Boulia,Queensland
31000,Brisbane,Queensland
31750,Bulloo,Queensland
31820,Bundaberg,Queensland
31900,Burdekin,Queensland
31950,Burke,Queensland
32080,Cairns,Queensland
32250,Carpentaria,Queensland
32260,Cassowary Coast,Queensland
32270,Central Highlands (Qld),Queensland
32310,Charters Towers,Queensland
32330,Cherbourg,Queensland
32450,Cloncurry,Queensland
32500,Cook,Queensland
32600,Croydon,Queensland
32750,Diamantina,Queensland
32770,Doomadgee,Queensland
32810,Douglas,Queensland
33100,Etheridge,Queensland
33200,Flinders (Qld),Queensland
33220,Fraser Coast,Queensland
33360,Gladstone,Queensland
33430,Gold Coast,Queensland
33610,Goondiwindi,Queensland
33620,Gympie,Queensland
33800,Hinchinbrook,Queensland
33830,Hope Vale,Queensland
33960,Ipswich,Queensland
33980,Isaac,Queensland
34420,Kowanyama,Queensland
34530,Livingstone,Queensland
34570,Lockhart River,Queensland
34580,Lockyer Valley,Queensland
34590,Logan,Queensland
34710,Longreach,Queensland
34770,Mackay,Queensland
34800,McKinlay,Queensland
34830,Mapoon,Queensland
34860,Maranoa,Queensland
34880,Mareeba,Queensland
35010,Moreton Bay,Queensland
35250,Mornington,Queensland
35300,Mount Isa,Queensland
35600,Murweh,Queensland
35670,Napranum,Queensland
35740,Noosa,Queensland
35760,North Burnett,Queensland
35780,Northern Peninsula Area,Queensland
35790,Palm Island,Queensland
35800,Paroo,Queensland
36070,Pormpuraaw,Queensland
36150,Quilpie,Queensland
36250,Redland,Queensland
36300,Richmond,Queensland
36370,Rockhampton,Queensland
36510,Scenic Rim,Queensland
36580,Somerset,Queensland
36630,South Burnett,Queensland
36660,Southern Downs,Queensland
36720,Sunshine Coast,Queensland
36820,Tablelands,Queensland
36910,Toowoomba,Queensland
36950,Torres,Queensland
36960,Torres Strait Island,Queensland
37010,Townsville,Queensland
37300,Weipa,Queensland
37310,Western Downs,Queensland
37340,Whitsunday,Queensland
37400,Winton,Queensland
37550,Woorabinda,Queensland
37570,Wujal Wujal,Queensland
37600,Yarrabah,Queensland
39499,No usual address (Qld),Queensland
39799,Migratory - Offshore - Shipping (Qld),Queensland
40070,Adelaide,South Australia
40120,Adelaide Hills,South Australia
40220,Alexandrina,South Australia
40250,Anangu Pitjantjatjara,South Australia
40310,Barossa,South Australia
40430,Barunga West,South Australia
40520,Berri and Barmera,South Australia
40700,Burnside,South Australia
40910,Campbelltown (SA),South Australia
41010,Ceduna,South Australia
41060,Charles Sturt,South Australia
41140,Clare and Gilbert Valleys,South Australia
41190,Cleve,South Australia
41330,Coober Pedy,South Australia
41560,Copper Coast,South Australia
41750,Elliston,South Australia
41830,Flinders Ranges,South Australia
41960,Franklin Harbour,South Australia
42030,Gawler,South Australia
42110,Goyder,South Australia
42250,Grant,South Australia
42600,Holdfast Bay,South Australia
42750,Kangaroo Island,South Australia
43080,Karoonda East Murray,South Australia
43220,Kimba,South Australia
43360,Kingston (SA),South Australia
43650,Light (RegC),South Australia
43710,Lower Eyre Peninsula,South Australia
43790,Loxton Waikerie,South Australia
43920,Mallala,South Australia
44000,Maralinga Tjarutja,South Australia
44060,Marion,South Australia
44210,Mid Murray,South Australia
44340,Mitcham,South Australia
44550,Mount Barker,South Australia
44620,Mount Gambier,South Australia
44830,Mount Remarkable,South Australia
45040,Murray Bridge,South Australia
45090,Naracoorte and Lucindale,South Australia
45120,Northern Areas,South Australia
45290,Norwood Payneham St Peters,South Australia
45340,Onkaparinga,South Australia
45400,Orroroo/Carrieton,South Australia
45540,Peterborough,South Australia
45680,Playford,South Australia
45890,Port Adelaide Enfield,South Australia
46090,Port Augusta,South Australia
46300,Port Lincoln,South Australia
46450,Port Pirie City and Dists,South Australia
46510,Prospect,South Australia
46670,Renmark Paringa,South Australia
46860,Robe,South Australia
46970,Roxby Downs,South Australia
47140,Salisbury,South Australia
47290,Southern Mallee,South Australia
47490,Streaky Bay,South Australia
47630,Tatiara,South Australia
47700,Tea Tree Gully,South Australia
47800,The Coorong,South Australia
47910,Tumby Bay,South Australia
47980,Unley,South Australia
48050,Victor Harbor,South Australia
48130,Wakefield,South Australia
48260,Walkerville,South Australia
48340,Wattle Range,South Australia
48410,West Torrens,South Australia
48540,Whyalla,South Australia
48640,Wudinna,South Australia
48750,Yankalilla,South Australia
48830,Yorke Peninsula,South Australia
49399,Unincorporated SA,South Australia
49499,No usual address (SA),South Australia
49799,Migratory - Offshore - Shipping (SA),South Australia
50080,Albany,Western Australia
50210,Armadale,Western Australia
50250,Ashburton,Western Australia
50280,Augusta-Margaret River,Western Australia
50350,Bassendean,Western Australia
50420,Bayswater,Western Australia
50490,Belmont,Western Australia
50560,Beverley,Western Australia
50630,Boddington,Western Australia
50770,Boyup Brook,Western Australia
50840,Bridgetown-Greenbushes,Western Australia
50910,Brookton,Western Australia
50980,Broome,Western Australia
51080,Broomehill-Tambellup,Western Australia
51120,Bruce Rock,Western Australia
51190,Bunbury,Western Australia
51260,Busselton,Western Australia
51310,Cambridge,Western Australia
51330,Canning,Western Australia
51400,Capel,Western Australia
51470,Carnamah,Western Australia
51540,Carnarvon,Western Australia
51610,Chapman Valley,Western Australia
51680,Chittering,Western Australia
51750,Claremont,Western Australia
51820,Cockburn,Western Australia
51890,Collie,Western Australia
51960,Coolgardie,Western Australia
52030,Coorow,Western Australia
52100,Corrigin,Western Australia
52170,Cottesloe,Western Australia
52240,Cranbrook,Western Australia
52310,Cuballing,Western Australia
52380,Cue,Western Australia
52450,Cunderdin,Western Australia
52520,Dalwallinu,Western Australia
52590,Dandaragan,Western Australia
52660,Dardanup,Western Australia
52730,Denmark,Western Australia
52800,Derby-West Kimberley,Western Australia
52870,Donnybrook-Balingup,Western Australia
52940,Dowerin,Western Australia
53010,Dumbleyung,Western Australia
53080,Dundas,Western Australia
53150,East Fremantle,Western Australia
53220,East Pilbara,Western Australia
53290,Esperance,Western Australia
53360,Exmouth,Western Australia
53430,Fremantle,Western Australia
53570,Gingin,Western Australia
53640,Gnowangerup,Western Australia
53710,Goomalling,Western Australia
53780,Gosnells,Western Australia
53800,Greater Geraldton,Western Australia
53920,Halls Creek,Western Australia
53990,Harvey,Western Australia
54060,Irwin,Western Australia
54130,Jerramungup,Western Australia
54170,Joondalup,Western Australia
54200,Kalamunda,Western Australia
54280,Kalgoorlie/Boulder,Western Australia
54310,Karratha,Western Australia
54340,Katanning,Western Australia
54410,Kellerberrin,Western Australia
54480,Kent,Western Australia
54550,Kojonup,Western Australia
54620,Kondinin,Western Australia
54690,Koorda,Western Australia
54760,Kulin,Western Australia
54830,Kwinana,Western Australia
54900,Lake Grace,Western Australia
54970,Laverton,Western Australia
55040,Leonora,Western Australia
55110,Mandurah,Western Australia
55180,Manjimup,Western Australia
55250,Meekatharra,Western Australia
55320,Melville,Western Australia
55390,Menzies,Western Australia
55460,Merredin,Western Australia
55530,Mingenew,Western Australia
55600,Moora,Western Australia
55670,Morawa,Western Australia
55740,Mosman Park,Western Australia
55810,Mount Magnet,Western Australia
55880,Mount Marshall,Western Australia
55950,Mukinbudin,Western Australia
56090,Mundaring,Western Australia
56160,Murchison,Western Australia
56230,Murray,Western Australia
56300,Nannup,Western Australia
56370,Narembeen,Western Australia
56460,Narrogin,Western Australia
56580,Nedlands,Western Australia
56620,Ngaanyatjarraku,Western Australia
56730,Northam,Western Australia
56790,Northampton,Western Australia
56860,Nungarin,Western Australia
56930,Peppermint Grove,Western Australia
57000,Perenjori,Western Australia
57080,Perth,Western Australia
57140,Pingelly,Western Australia
57210,Plantagenet,Western Australia
57280,Port Hedland,Western Australia
57350,Quairading,Western Australia
57420,Ravensthorpe,Western Australia
57490,Rockingham,Western Australia
57630,Sandstone,Western Australia
57700,Serpentine-Jarrahdale,Western Australia
57770,Shark Bay,Western Australia
57840,South Perth,Western Australia
57910,Stirling,Western Australia
57980,Subiaco,Western Australia
58050,Swan,Western Australia
58190,Tammin,Western Australia
58260,Three Springs,Western Australia
58330,Toodyay,Western Australia
58400,Trayning,Western Australia
58470,Upper Gascoyne,Western Australia
58510,Victoria Park,Western Australia
58540,Victoria Plains,Western Australia
58570,Vincent,Western Australia
58610,Wagin,Western Australia
58680,Wandering,Western Australia
58760,Wanneroo,Western Australia
58820,Waroona,Western Australia
58890,West Arthur,Western Australia
59030,Westonia,Western Australia
59100,Wickepin,Western Australia
59170,Williams,Western Australia
59250,Wiluna,Western Australia
59310,Wongan-Ballidu,Western Australia
59320,Woodanilling,Western Australia
59330,Wyalkatchem,Western Australia
59340,Wyndham-East Kimberley,Western Australia
59350,Yalgoo,Western Australia
59360,Yilgarn,Western Australia
59370,York,Western Australia
59499,No usual address (WA),Western Australia
59799,Migratory - Offshore - Shipping (WA),Western Australia
60210,Break O'Day,Tasmania
60410,Brighton,Tasmania
60610,Burnie,Tasmania
60810,Central Coast (Tas.),Tasmania
61010,Central Highlands (Tas.),Tasmania
61210,Circular Head,Tasmania
61410,Clarence,Tasmania
61510,Derwent Valley,Tasmania
61610,Devonport,Tasmania
61810,Dorset,Tasmania
62010,Flinders (Tas.),Tasmania
62210,George Town,Tasmania
62410,Glamorgan/Spring Bay,Tasmania
62610,Glenorchy,Tasmania
62810,Hobart,Tasmania
63010,Huon Valley,Tasmania
63210,Kentish,Tasmania
63410,King Island,Tasmania
63610,Kingborough,Tasmania
63810,Latrobe (Tas.),Tasmania
64010,Launceston,Tasmania
64210,Meander Valley,Tasmania
64610,Northern Midlands,Tasmania
64810,Sorell,Tasmania
65010,Southern Midlands,Tasmania
65210,Tasman,Tasmania
65410,Waratah/Wynyard,Tasmania
65610,West Coast,Tasmania
65810,West Tamar,Tasmania
69499,No usual address (Tas.),Tasmania
69799,Migratory - Offshore - Shipping (Tas.),Tasmania
70200,Alice Springs,Nothern Territory
70420,Barkly,Nothern Territory
70540,Belyuen,Nothern Territory
70620,Central Desert,Nothern Territory
70700,Coomalie,Nothern Territory
71000,Darwin,Nothern Territory
71300,East Arnhem,Nothern Territory
72200,Katherine,Nothern Territory
72300,Litchfield,Nothern Territory
72330,MacDonnell,Nothern Territory
72800,Palmerston,Nothern Territory
73600,Roper Gulf,Nothern Territory
74050,Tiwi Islands,Nothern Territory
74550,Victoria Daly,Nothern Territory
74560,Wagait,Nothern Territory
74660,West Arnhem,Nothern Territory
74680,West Daly,Nothern Territory
79399,Unincorporated NT,Nothern Territory
79499,No usual address (NT),Nothern Territory
79799,Migratory - Offshore - Shipping (NT),Nothern Territory
89399,Unincorporated ACT,Australian Capital Territory
89499,No usual address (ACT),Australian Capital Territory
89799,Migratory - Offshore - Shipping (ACT),Australian Capital Territory
99399,Unincorp. Other Territories,Other Territories
99499,No usual address (OT),Other Territories
99799,Migratory - Offshore - Shipping (OT),Other Territories
